objective,p01rcy,p02rcy,p03rcy,p04rcy,p06rcy,p07rcy,p08rcy,p09rcy,p11rcy,p12rcy,p13rcy,p14rcy,p15rcy,p16rcy,p17rcy,totalspend,p05spend,p05trans,p09tenure,p14tenure,p16spend,p16tenure,p16trans,totaltrans,acffempar       ,acfhuswife      ,acflonepar      ,acftotmar       ,acfwchcom       ,afem40to44      ,afp1child       ,afp2child       ,ahh2fam         ,ahh6ppers       ,amtenglish      ,amtfrench       ,amtmultlin      ,amtnengnon      ,amtsingres      ,amtspanish      ,amttagalog      ,anfamrel        ,bcwmpaid        ,bdw46to60       ,bdw86to91       ,bdwmaint        ,bdwmajor        ,bdwminor        ,bdwperroom      ,betbritish      ,betenglish      ,betfrench       ,betmulti        ,betsingle       ,bfi20to35       ,bfi50plus       ,bfiinca         ,bfiincm         ,bfiu20          ,bfps            ,bfpshealth      ,bfpshuman       ,bfsllabf        ,bfslonepar      ,bfslplabf       ,bfsmlabf        ,bhi20to35       ,bhi50plus       ,bhiinca         ,bhiincm         ,bhiincs         ,bhiu20          ,bhlenglish      ,bhlfrench       ,bhlnonoff       ,bimprovres      ,bimuk           ,bincgovp        ,bineflow        ,bineflowp       ,binf30plus      ,binf7to15       ,binfinca        ,binfincm        ,binfincs        ,binhhlow        ,binhhlowp       ,binm15to30      ,binm30plus      ,binm7to15       ,binmfemina      ,binminca        ,binmincm        ,binmincs        ,bknenglish      ,bknfren         ,blfmaempl       ,blfmaunemr      ,blfmtempl       ,blfmtunemp      ,blfmtunemr      ,blftaempl       ,blfttempl       ,blfttunemr      ,bmoy1intep      ,bmoy5intep      ,bmoy5intrn      ,bmoy5mov        ,bmoy5non        ,bmps            ,bmpscomm        ,bmpseng         ,bmpshealth      ,bmpssocial      ,bndtallind      ,bndtbusser      ,bndtgovser      ,bocffabric      ,bocfmanage      ,bocfteach       ,bocmmanage      ,bocmscieng      ,bpwmcsd         ,bpwmpop         ,bpwmusual       ,brlanglic       ,brlcathol       ,brlprotest      ,brlrcathol      ,brlunited       ,bsl9to13nc      ,bslg9           ,bslnunivc       ,bslunivdeg      ,bslunivnc       ,bslunivnd       ,gender1         ,first month     ,lowincome       ,highincome      ,gender2         ,productcount    ,productcount6   ,tenure          ,tf100           ,tf101           ,tf102           ,tf103           ,tf107           ,tf108           ,tf122           ,tf124           ,tf128           ,tf129           ,tf27            ,tf28            ,tf29            ,tf31            ,tf32            ,tf33            ,tf34            ,tf35            ,tf36            ,tf37            ,tf38            ,tf39            ,tf42            ,tf46            ,tf47            ,tf49            ,tf50            ,tf51            ,tf52            ,tf55            ,tf56            ,tf57            ,tf58            ,tf62            ,tf65            ,tf68            ,tf70            ,tf71            ,tf72            ,tf73            ,tf74            ,tf75            ,tf76            ,tf77            ,tf80            ,tf88            ,tf89            ,tf90            ,tf91            ,tf92            ,tf93            ,tf94            ,tf95            ,tf96            ,tf99            ,gender3         
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9130435,0,4854,0,0,0,0,0.01626016,0.09708738,0.125,8,0.1521739,0.8043478,0.1956522,0.7173913,0.02173913,0.03529412,0.08695652,0.04347826,0,0.02941176,0.9823529,0.01176471,0.005882353,0,0.9941176,0,0,0.02453988,0.182783,0.1764706,0.07352941,0.5441176,0.1323529,0.3088235,0.4,0.3301887,0.1415094,0.01179245,0.5896226,0.4127358,0.08510638,0.3404255,40825,41971,0.2553191,0.182783,0.04716981,0.01179245,0.1521739,0.1956522,0.1521739,0.5869565,0.119403,0.2537313,34665,34905,2220,0.3731343,0.9964623,0,0,0.7370283,0.01179245,21.4,0.1956522,19.5,0.04716981,0.1061321,15554,13986,1205,0.7608696,21.6,0.0884434,0.1415094,0.05896226,0,24296,24726,1874,0.9610849,0,0.1709906,9.7,0.2004717,0.02358491,10.8,0.3419811,0.3773585,12.5,0.05306604,0.1650943,0.2358491,0.3773585,0.5129717,0.129717,0.03537736,0,0,0.01179245,0.4245283,0.01768868,0.04127359,0,0,0.01768868,0.01179245,0.01179245,0.1061321,0.1945755,0.1533019,0.02948113,0.2830189,0.6957547,0.2771226,0.3891509,0.2771226,0.05306604,0.1533019,0.07075471,0.04127359,0.1120283,0,48,0,0,1,8,2,206,0.01694915,0,0.7288136,0.06779661,0.05084746,2.720339,0.06779661,0.3220339,0.01694915,16,0.9830508,0.440678,0.220339,0.06779661,0.03389831,0.03389831,0,0,0,21,26,15,0.2881356,0.3050847,0.1016949,0.05084746,0.1864407,0.08474576,0.1016949,0.08474576,0.4067796,0.1864407,0.2033898,0.2033898,0.03389831,150,0.06779661,0.03389831,0.03389831,0.3559322,0.1864407,0.1864407,0.03389831,0.01694915,0,0.3067797,0.2016949,0.1067797,0.1864407,0.1186441,0.06779661,328,227,101,0.1016949,0
1,0.995671,0,0,0.9393939,0.991342,0,0,0,0,0,0,0,0.991342,0,0,5504,0,0,0,0,0,0,0,38,0.1276596,0.893617,0.106383,0.8297873,0,0.03141361,0.08510638,0.0212766,0.01123596,0.02247191,0.8481675,0.005235602,0.02617801,0.02094241,0.973822,0.005235602,0.005235602,0.02631579,0.2672956,0.2045455,0.25,0.7045454,0.1022727,0.1931818,0.4,0.408805,0.2201258,0.01048218,0.3039832,0.6918239,0.1777778,0.6222222,69452,59841,0.04444445,0.1834382,0.03144654,0.02096436,0.06818182,0.06818182,0.06818182,0.7045454,0.1797753,0.3820225,49126,40063,3779,0.2808989,0.9643606,0,0.03668763,0.6498952,0.1100629,10.7,0.04545455,3.3,0.09958071,0.1572327,22599,14187,2125,0.5,12,0.09958071,0.2148847,0.04192872,42822,34812,32034,2177,0.9014675,0,0.2201258,12.2,0.2515723,0.03668763,12.5,0.4454927,0.4926625,7.8,0.01572327,0.01572327,0.230608,0.4350105,0.5031447,0.1991614,0.01572327,0.02620545,0,0.03144654,0.524109,0.03144654,0.04192872,0.01048218,0.0524109,0.02096436,0.03144654,0.03144654,0.09958071,0.2568134,0.2201258,0.07861635,0.351153,0.4926625,0.3459119,0.1572327,0.1939203,0.0524109,0.1100629,0.1834382,0.02096436,0.05765199,0,48,0,0,1,10,7,206,0.05433287,0.02716644,0.6874141,0.04436038,0.1650619,3.846974,0.07152683,0.3473178,0,0,0.9803989,0.3645117,0.1970426,0.1035076,0.06396148,0.05674003,0.02200825,0.009972489,0.01237964,30,36,22,0.2513755,0.1946355,0.08115543,0.1083219,0.09869326,0.05674003,0.04195323,0.05674003,0.573934,0.2781981,0.2929849,0.1898212,0.09112792,840,0.1011004,0.05433287,0.04676754,1.150275,0.6898212,0.463205,0.04676754,0.03438789,0.007221458,1.162655,1.043329,0.133425,0.2389959,0.1427098,0.09594223,2668,1810,857,0.1182944,0
1,0.974026,0,0.995671,0,0,0,0,0,0,0,0,0,0.995671,0,0,11178,0,0,0,0,0,0,0,104,0.01886792,0.9622642,0.03773585,0.9056604,0.01886792,0.03773585,0.01886792,0.01886792,0,0.01694915,0.9056604,0.01886792,0.006289308,0.006289308,0.9937107,0,0.006289308,0.01898734,0.2515723,0,0.3050847,0.8983051,0,0.08474576,0.3,0.3899371,0.2893082,0.01886792,0.3836478,0.6100629,0.03773585,0.8113208,76628,69422,0.0754717,0.1823899,0.04402516,0.01257862,0.03773585,0.03773585,0.03773585,0.6037736,0.06779661,0.7627119,75522,69122,4806,0.06779661,0.9748428,0.01886792,0.01257862,0.4654088,0.0754717,6.1,0.03636364,3.9,0.05660377,0.05031446,17464,16754,1431,0.07272727,2.7,0.03773585,0.3018868,0.04402516,64296,51842,44833,4423,0.8930818,0,0.1886792,17.1,0.2264151,0.04402516,15.9,0.3459119,0.4402516,10.3,0.02515723,0.06289309,0.2138365,0.5408805,0.4213836,0.2075472,0.02515723,0.05031446,0.01886792,0,0.4842767,0.04402516,0.02515723,0,0.01257862,0.01257862,0.08176101,0.03144654,0.163522,0.2327044,0.2075472,0.2075472,0.1572327,0.6666667,0.1572327,0.2578616,0.163522,0.03773585,0.163522,0.1257862,0.06289309,0.1320755,0,50,0,1,1,11,7,215,0.07462686,0.05970149,0.7462686,0.04477612,0.1641791,3.973134,0.1044776,0.3283582,0.01492537,89,1,0.3283582,0.1641791,0.08955224,0.08955224,0.119403,0.04477612,0.02985075,0.01492537,36,48,24,0.2985075,0.238806,0.08955224,0.1791045,0.119403,0.07462686,0.04477612,0.05970149,0.6567164,0.2985075,0.358209,0.2537313,0.07462686,610,0.1940299,0.1044776,0.07462686,0.8507463,0.3134328,0.5373135,0.08955224,0.05970149,0,2.580597,2.040298,0.5402985,0.358209,0.2238806,0.1492537,1385,987,398,0.1791045,0
1,0.9695652,0,0,0,0,0,0,0,0,0.9956522,0,0,0.9956522,0,0.9956522,2628,0,0,0,0,0,0,0,35,0.05263158,0.9473684,0.05263158,0.9210526,0,0.05517241,0.02631579,0.02631579,0.02702703,0.1081081,0.7586207,0.03448276,0.03448276,0.02758621,0.9724138,0,0.0137931,0.02054795,0.2815934,0,0.9473684,0.8947368,0,0.1052632,0.4,0.206044,0.07554945,0.02747253,0.2266483,0.7142857,0.05128205,0.7435898,68637,65779,0,0.157967,0.02747253,0.01373626,0.125,0.125,0.075,0.8,0,0.7692308,71606,68732,4099,0.05128205,0.8447802,0.03434066,0.05494506,0.4945055,0.04807692,3.3,0.05263158,3.6,0.07554945,0.04807692,17788,12005,2209,0.2368421,6.2,0.03434066,0.2197802,0,53378,47217,46356,3970,0.8447802,0.01373626,0.2335165,5.6,0.2815934,0.01373626,4.8,0.4258242,0.4876374,2.7,0,0.06868132,0.5082418,0.8173077,0.01373626,0.1785714,0.04120879,0.02747253,0,0.02747253,0.4945055,0.06181319,0.0206044,0.0206044,0.04807692,0,0.103022,0.03434066,0.04807692,0.2815934,0.2678571,0.103022,0.4395604,0.3159341,0.4258242,0.06181319,0.1167582,0.01373626,0.1304945,0.157967,0.04807692,0.103022,0,48,0,1,1,9,5,207,0.1226158,0.07084469,0.852861,0.02452316,0.2752044,5.555858,0.1226158,0.3569482,0,0,0.9754769,0.2479564,0.09809265,0.1253406,0.07901908,0.1498638,0.07629428,0.02724796,0,40,52,25,0.3978202,0.2179836,0.09809265,0.3269755,0.1008174,0.02724796,0.05177112,0.05177112,0.5258856,0.2506812,0.2506812,0.3024523,0,1305,0.07901908,0.05177112,0.02724796,0.1280654,0.09809265,0.02997275,0.05449591,0.02724796,0,0.8882834,0.7411444,0.2506812,0.4495913,0.2752044,0.1525886,753,568,184,0.2043597,0
0,0,0,0.9869565,0,0,0.9695652,0,0,0,0,0,0,0,0.9130435,0,3712,0,0,0,0,0.004750594,0.09708738,0.05263158,19,0.4259259,0.5185185,0.4444444,0.4074074,0.07407407,0.02702703,0.1481481,0.2037037,0.01612903,0.03225806,0.854054,0.01621622,0.02162162,0.02162162,0.9783784,0.01621622,0.02702703,0.02702703,0.210356,0.09677419,0,0.516129,0.1612903,0.3225806,0.6,0.1833873,0.1240561,0.01078749,0.5124056,0.4854369,0.3207547,0.1886792,32477,28697,0.2830189,0.1510248,0.01078749,0,0.3396226,0.490566,0.3396226,0.509434,0.2903226,0.1612903,33012,31234,2130,0.2903226,0.9439051,0,0.04314994,0.5124056,0.03236246,18.2,0.2962963,30.9,0,0.09169363,15243,16140,925,1,29.5,0.08629989,0.07011867,0.05393743,0,21441,18319,1853,0.9385113,0,0.1186623,28.1,0.167206,0.06472492,28.6,0.2642934,0.3721683,28.1,0.07011867,0.2211435,0.4422869,0.7874865,0.06472492,0.06472492,0.01618123,0,0,0,0.4908306,0.04854369,0.01618123,0,0.02157497,0.01618123,0.01078749,0.01078749,0.05933117,0.167206,0.1456311,0.09169363,0.2211435,0.4153182,0.2211435,0.1186623,0.2265372,0.04314994,0.1564185,0.01618123,0.0377562,0.07551241,1,48,0,1,0,9,4,206,0,0,0.7346939,0.04081633,0.1020408,3.132653,0.122449,0.08163265,0,0,0.9591837,0.4897959,0.244898,0.06122449,0.02040816,0,0,0,0,17,18,14,0.3265306,0.3673469,0.1428571,0,0.2653061,0.1428571,0.1020408,0.244898,0.122449,0.04081633,0.08163265,0.08163265,0,0,0,0,0,0,0,0,0,0,0,0.4306122,0.2632653,0,0.122449,0.04081633,0.06122449,96,45,51,0.06122449,0
1,0.95671,0.991342,0.995671,0,0,0.965368,0.974026,0,0,0,0,0,0.987013,0,0.974026,5213,0,0,0,0,0,0,0,113,0.01851852,0.9814815,0.01851852,0.9444444,0.01851852,0.05882353,0,0,0,0.01818182,0.5508021,0.342246,0.04278075,0.01069519,0.9572192,0.005347594,0,0.01604278,0.3248136,0,0.7090909,0.9090909,0,0.09090909,0.5,0.1810437,0.1171459,0.2609159,0.3035144,0.6975506,0.03571429,0.8214286,75146,78338,0.03571429,0.1863685,0.04792332,0.01597444,0.03571429,0.03571429,0.03571429,0.9464286,0.03636364,0.8727273,76586,78754,3244,0.03636364,0.5910543,0.2822151,0.07454739,0.5218318,0.01597444,2.8,0.05454545,3.8,0.1064963,0.04792332,22975,21977,1784,0.07272727,2.3,0.02129925,0.2662407,0.03194888,46863,42300,44998,2435,0.484558,0.03727369,0.2822151,3.7,0.314164,0.01597444,4.8,0.5218318,0.5963791,4.3,0.03194888,0.1970181,0.314164,0.6443024,0.2236422,0.2183174,0.04259851,0,0,0.05324814,0.6230032,0.04259851,0.2396166,0,0.03194888,0.02662407,0.1064963,0.04259851,0.04792332,0.3194888,0.2928647,0.05857295,0.6656017,0.2129925,0.6230032,0.07987221,0.1118211,0.01597444,0.1544196,0.1810437,0.05324814,0.1064963,0,50,0,0,1,9,7,214,0.05891239,0.03021148,0.8821752,0.03021148,0.1465257,4.634441,0.1178248,0.4441088,0,0,0.9728097,0.2356495,0.08912387,0.1329305,0.1314199,0.163142,0.04380665,0.001510574,0,36,46,25,0.4108761,0.1918429,0.08761329,0.2960725,0.102719,0.02870091,0.07250755,0.06042296,0.4712991,0.2205438,0.2492447,0.2945619,0.001510574,1998,0.08761329,0.05891239,0.02870091,0.07401813,0.03021148,0.04380665,0.05891239,0.01510574,0,0.7084592,0.3021148,0.407855,0.3957704,0.2205438,0.1752266,807,520,286,0.2492447,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0.9606987,0.9170306,0,5483,0.04929578,0.4117647,0,0,0.01408451,0.09708738,0.05882353,17,0.1190476,0.8333333,0.1428571,0.6904762,0.04761905,0.04210526,0.1190476,0,0.01315789,0.03947368,0.7473684,0.05789474,0.03157895,0.02631579,0.9631579,0,0.02631579,0.03954802,0.3646934,0.131579,0.2894737,0.7105263,0.09210526,0.1973684,0.5,0.179704,0.1321353,0.05285412,0.4122621,0.5761099,0.07142857,0.7380952,76774,71851,0.0952381,0.2008457,0.03171247,0.01585624,0.1463415,0.1463415,0.1219512,0.8536586,0.12,0.6133333,65153,60544,0,0.16,0.8668076,0.03171247,0.06871036,0.1955602,0.02114165,4.1,0,0,0.1638478,0.05813954,27300,25079,0,0,0,0.07399577,0.2378436,0.05285412,51258,40745,34944,0,0.8562368,0.01057082,0.2854123,3.6,0.359408,0.01585624,4.2,0.5338266,0.6818182,3.7,0.153277,0.3805497,0.4386892,0.7029598,0.1902748,0.2114165,0.03699788,0.01585624,0.01057082,0.02642706,0.7082452,0.0422833,0.1849894,0,0.05285412,0.02642706,0.08985201,0.03699788,0.3435518,0.359408,0.3541226,0.1268499,0.359408,0.3911205,0.359408,0.1109937,0.1744186,0.06342494,0.1374207,0.1849894,0.04756871,0.1162791,0,48,0,0,1,7,3,206,0.098,0.05225,0.8925,0.035,0.32075,6.082,0.094,0.214,0.03575,208,0.99,0.28825,0.13825,0.1205,0.10575,0.13875,0.05275,0.02225,0.0075,37,43,30,0.3975,0.264,0.11325,0.282,0.1785,0.098,0.083,0.10025,0.3365,0.1685,0.1655,0.1885,0.0175,2224,0.06775,0.04025,0.03,0.232,0.15225,0.08,0.04275,0.0175,0.0025,1.4945,1.107,0.382,0.32675,0.16875,0.1555,6556,4088,2468,0.14625,0
0,0,0,0.9913043,0,0,0.9565217,0.9956522,0,0,0,0.9913043,0,0.9869565,0,0.9869565,7926,0,0,0,0,0,0,0,60,0,0.9411765,0.05882353,0.8823529,0.05882353,0.03333334,0,0,0,0.05,0.7666667,0,0.01666667,0.01666667,0.9833333,0,0,0.01639344,0.1655629,0.45,0,0.3,0.2,0.45,0.4,0.1490066,0.115894,0,0.397351,0.5960265,0,0,0,0,0,0.08278146,0.03311258,0,0.1666667,0.1111111,0.1111111,0.8333333,0.25,0.5,45448,36362,9814,0.25,0.9437086,0,0.04966887,0.8443708,0,0,0,0,0,0,0,0,0,0,0,0.06622516,0.1490066,0.06622516,0,27392,15664,7919,0.910596,0,0.2980132,0,0.3311258,0,0,0.5463576,0.6125828,0,0,0,0.1655629,0.1821192,0.7284768,0.08278146,0.03311258,0,0,0,0.6125828,0,0,0,0,0,0,0,0.03311258,0.3311258,0.09933775,0.08278146,0.5463576,0.4139073,0.1821192,0.1324503,0.3311258,0.09933775,0.06622516,0,0,0.04966887,1,48,0,1,0,8,6,206,0.01694915,0.002824859,0.6694915,0.07344633,0.02824859,2.101695,0.0480226,0.2457627,0,0,0.9576271,0.5847458,0.1977401,0.04237288,0.02824859,0.002824859,0,0,0,16,17,12,0.2485876,0.2824859,0.09322034,0.02542373,0.1355932,0.08474576,0.04519774,0.07627118,0.5310735,0.2881356,0.2429378,0.2316384,0.02824859,1272,0.07062147,0.03672316,0.02824859,0.3446328,0.1581921,0.1525424,0.06214689,0.008474576,0,1.20904,1.019774,0.200565,0.1779661,0.1073446,0.07344633,152,101,50,0.1129944,0
1,0.9307359,0.982684,0.995671,0,0,0,0,0,0,0.9393939,0,0,0.995671,0,0,6743,0,0,0,0,0,0,0,51,0.05333333,0.9333333,0.08,0.9066667,0.01333333,0.0565371,0.01333333,0.02666667,0.01282051,0.06410257,0.8303887,0.01060071,0.02120141,0.01766784,0.9823322,0,0,0.02120141,0.2748414,0,0.03846154,0.7307692,0.02564103,0.2435897,0.4,0.3276955,0.243129,0.007047216,0.359408,0.6377731,0.1052632,0.7368421,76769,62612,0.02631579,0.1726568,0.04933051,0,0.05263158,0.05263158,0.05263158,0.8289474,0.08860759,0.7341772,76093,62473,4423,0.02531646,0.944327,0,0.04580691,0.7223397,0.03171247,5.5,0.02631579,1.6,0.07751938,0.07047217,17822,14184,1367,0.1052632,2.9,0.05637773,0.2008457,0.03171247,54390,43893,35676,3546,0.9619451,0,0.2184637,6.1,0.2748414,0.01761804,6.1,0.4052149,0.5250176,6.3,0,0,0.1092319,0.3699788,0.5602537,0.1198027,0.03523608,0,0,0.01409443,0.5602537,0.02114165,0.04580691,0.007047216,0.03875969,0.03523608,0.07751938,0.01057082,0.1550388,0.2748414,0.2677942,0.1268499,0.3206483,0.5179704,0.3136011,0.1515152,0.1550388,0.07047217,0.09866103,0.1479915,0.05285412,0.09513742,1,49,0,0,0,9,7,211,0.0607621,0.04016478,0.8486097,0.02986612,0.1822863,4.684861,0.1009269,0.3439753,0,0,0.9804326,0.323378,0.1719876,0.09062822,0.08032956,0.08032956,0.04016478,0.02059732,0.01029866,32,41,22,0.3738414,0.2729145,0.1215242,0.1719876,0.1318229,0.07106076,0.0607621,0.07106076,0.514933,0.2626159,0.2626159,0.2420185,0.02986612,950,0.1009269,0.0607621,0.04016478,0.4037075,0.1318229,0.2729145,0.05046344,0.02986612,0,3.15036,2.334707,0.8177137,0.3439753,0.1915551,0.1513903,1243,812,431,0.1719876,0
1,0.9956522,0,0,0,0,0,0,0,0,0,0,0,0.9695652,0.9130435,0,6449,0,0,0,0,0.008130081,0.09708738,0.05,20,0.1458333,0.8125,0.2083333,0.75,0.02083333,0.04545455,0.08333334,0.0625,0.01408451,0.02816901,0.8181818,0.01704546,0.01136364,0.01136364,0.9886364,0.01136364,0.01136364,0.01775148,0.2440409,0.6428571,0,0.5714286,0.04285714,0.4,0.4,0.2780931,0.215664,0.01135074,0.4937571,0.4710556,0.1458333,0.5833333,81133,58693,0.0625,0.2780931,0.03972758,0.01702611,0.1875,0.2083333,0.1875,0.6666667,0.1571429,0.5142857,67673,52128,5992,0.2,0.908059,0,0.02270148,0.431328,0.06242906,4.3,0.1,8.7,0.1645857,0.09648127,27224,20092,2519,0.5,14.9,0.03405221,0.2099887,0.06242906,55619,50189,44439,4776,0.7832009,0,0.2043133,0,0.2497162,0,0,0.4143019,0.5051078,10.1,0.04540295,0.0737798,0.1702611,0.5164586,0.3916005,0.3007945,0.03972758,0.03405221,0.02837684,0.06242906,0.5618615,0.107832,0.01702611,0,0.01135074,0.0737798,0.06242906,0.02837684,0.06242906,0.2497162,0.2440409,0.1191828,0.1305335,0.4143019,0.1305335,0.1362088,0.03405221,0.01135074,0.05107832,0.4880817,0.08513054,0.1248581,0,48,0,0,1,12,4,206,0.05873494,0.0436747,0.7394578,0.0873494,0.1159639,3.337349,0.246988,0.376506,0.02861446,57,0.9864458,0.3192771,0.1746988,0.0873494,0.07228915,0.07228915,0.0436747,0.0436747,0.02861446,38,43,31,0.3192771,0.2906626,0.0873494,0.1445783,0.0873494,0.0436747,0.0436747,0.07228915,0.5948795,0.3042169,0.3042169,0.2168675,0.0873494,520,0.188253,0.0873494,0.1009036,1.710843,0.4924699,1.203313,0.05873494,0.07228915,0.02861446,3.346385,2.503012,0.8689759,0.3042169,0.1596386,0.1445783,918,578,342,0.1445783,0
