objective,p01rcy,p02rcy,p03rcy,p04rcy,totalspend,totaltrans,p05spend,p05trans,p06rcy,p07rcy,p08rcy,p11rcy,p12rcy,p13rcy,p15rcy,p16spend,p16rcy,p16tenure,p16trans,p17rcy,Spend,Noofproductspurchased,UserBuyFactor,Gender,unempml25,LogMstRcntPurchage,lgTransSpend,LonPar,Mostrecent1,Mostrecent2,Mostrecent3,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15
1,0,0,0,0,4854,8,0,0,0,0,0,0,0,0,0,0.01626016,0.9130435,0.09708738,0.125,0,1,1,0.0869565,2,1,-0.090971754,6.408116845,0.1956522,16,0,0,-42909.30246,29754.99066,-6731.138063,-8316.539688,3043.955834,-378.3611869,-208.334786,33.3163302,-44.0833248,-31.58960263,673.4265215,-49.00682686,6.915771104,-28.75649303,3.018196494
1,1,0,0,1,5504,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,3.0606061,2,1,-0.062520399,4.97564422,0.0872824,1,15,6,-83566.21725,5881.918623,-8793.809358,-10256.77509,19.8950086,-4680.654498,1981.513915,-2262.811925,-47.16232138,-449.9607538,943.3257016,9.399461088,-74.52846934,-4.811256921,15.80430431
1,1,0,1,0,11178,104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,2.025974,2,1,-0.026317282,4.677311941,0.0377359,3,15,1,-122567.1006,5892.402098,-10263.26129,-1364.470315,-248.6469704,1918.573299,515.1920853,-28.38370995,-40.74399963,-576.0187152,81.64408953,-49.83896297,74.08954989,-23.69086057,22.18389541
1,1,0,0,0,2628,35,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,4,3.0304348,2,1,-0.030907555,4.318630318,0.0888158,12,17,12,-112137.5173,11825.1308,-11039.06916,1069.921844,3365.944445,-2340.278325,463.373207,286.6482001,-794.3650504,368.2541236,-153.4948245,-52.05789955,-5.757737974,-17.50166373,2.48296731
0,0,0,1,0,3712,19,0,0,0,1,0,0,0,0,0,0.00475059,0.9130435,0.09708738,0.053,0,3,3,2.0869565,1,1,-0.090971754,5.274887115,0.4675052,3,7,16,-39010.92104,27150.61216,-2265.323221,-10876.0834,1031.819915,1658.06601,-105.6683139,423.9681725,-50.28421572,-179.5147209,559.5559008,-42.32159309,5.456738013,-51.36782695,23.78677247
1,1,1,1,0,5213,113,0,0,0,1,1,0,0,0,1,0,0,0,0,1,7,7,6.04329,2,0,-0.044254964,3.831522966,0.0271164,3,2,15,-111258.0967,19180.17925,-4735.50304,-8932.490833,7724.22415,380.4916071,-831.6289941,-113.993075,-1433.70972,313.5716082,116.1265957,8.687908564,-1.023675778,-17.36396693,5.943204317
1,0,0,0,0,5483,17,0.04929578,0.4117647,0,0,0,0,0,0,1,0.01408451,0.9170306,0.09708738,0.059,0,2,2,1.0829694,2,0,-0.086614438,5.776194331,0.1445993,15,16,0,-103433.1022,9025.338528,-4506.572939,-17666.30511,2814.933052,1966.224931,6175.564915,-5742.595101,-360.9856055,89.14481756,1719.259666,533.0323679,56.42794526,-2.723506938,15.58418328
0,0,0,1,0,7926,60,0,0,0,1,1,0,0,1,1,0,0,0,0,1,6,6,5.0434783,1,0,-0.044451803,4.883559212,0.0849673,8,13,3,-45034.42091,30196.45097,4273.608702,14143.10466,-6560.859952,1905.612222,-3822.00627,-685.9488117,-1122.737731,25.37035861,806.6525218,19.31650416,0.143165984,-11.63512437,-1.26871908
1,1,1,1,0,6743,51,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5,4.0692641,1,1,-0.071779715,4.884434576,0.0663158,3,15,2,-111359.0351,9887.120069,60.43684462,-1026.94572,154.6308159,446.2076497,1908.269561,261.062906,-476.7631858,94.79279648,284.0966118,36.37691466,-2.333349131,-18.22814877,10.96143818
1,1,0,0,0,6449,20,0,0,0,0,0,0,0,0,1,0.00813008,0.9130435,0.09708738,0.05,0,3,3,2.0869565,2,0,-0.090971754,5.775948085,0.2083333,1,15,16,-113699.0336,11207.87407,-13384.91973,-11416.71491,-1593.408855,-3456.456522,269.8031126,29.30933255,-222.7138994,-442.1427077,970.2653067,11.48610562,51.98352619,-7.387664922,-0.355594313
1,0,0,0,1,3547,35,0,0,0,0,0,1,0,0,1,0.1911765,0.9350649,0.09708738,0.057,1,5,5,4.1038961,2,0,-0.109698913,4.618509393,0,15,17,4,-100324.0569,67864.40851,8864.112894,-49.03982355,5717.061916,-1368.040639,-2177.156911,-197.419421,-430.6423189,1818.387041,-662.1886267,-69.37047469,-12.03527035,-25.13259231,-3.950447552
0,0,0,0,0,2324,80,0,0,0,1,0,0,1,0,1,0.1830065,0.9350649,0.09708738,0.025,1,5,5,4.0649351,1,1,-0.06713934,3.369018483,0.0983926,15,17,7,-113281.2084,16492.44439,-1174.914934,-8459.984318,5400.399594,1838.827089,307.5089755,833.9063214,119.1628248,-105.5412415,174.0665236,9.004097494,14.32591527,-22.68173379,16.0195244
1,0,0,0,0,1924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,7.562161631,0.202381,0,0,0,-74940.25837,4481.487795,1626.855724,-9519.385525,2962.471675,-905.8931232,3711.684278,280.7397613,-3279.549707,1083.763848,1355.901756,-78.28850222,46.9077331,-0.887073981,19.60850797
1,1,0,1,0,6292,128,0.007782101,0.046875,0,0,1,0,1,0,1,0.01686122,0.9350649,0.09569378,0.016,1,7,7,6.0649351,1,1,-0.06713934,3.895004,0.0454545,3,17,3,-82226.01265,9011.277313,-21146.06508,-15203.33195,4463.724703,-1999.080093,-2227.44763,-136.0106937,272.0647282,-227.1125005,1129.582946,89.64315721,2.571280236,-11.92673939,2.091202381
0,0,0,1,0,1353,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0043478,3,0,-0.004357279,4.16555719,0.1978261,3,0,0,-95047.60844,15789.79676,-8056.971092,-545.5348407,-2417.993769,-2672.446967,-871.7105132,694.2852991,-24.19435595,-851.6782351,840.8952103,-29.25101881,13.91196426,-8.411614074,6.124319325
1,0,0,1,1,11079,156,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,5,4.0606061,2,0,-0.062520399,4.262950696,0.1258803,3,17,15,-98051.23503,16133.35007,1014.641037,-6197.443877,3894.148629,-3098.170406,650.5199575,-996.4357408,-678.1849875,-530.7402835,-42.21539917,123.5843621,-27.25969102,-14.47354466,10.3325824
1,0,0,0,0,4810,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6.869014451,0.1623377,0,0,0,-53412.61953,-151.8755127,-973.8834299,-18343.92145,-2483.680599,1016.362369,-819.3047086,-715.5029862,-63.70455742,-888.5638891,-322.8725618,15.46787204,-0.29901048,-38.04431061,-10.6519721
0,0,0,0,0,1991,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.804632835,0.1409091,0,0,0,-57740.57742,40632.65404,-14441.84303,-14357.2347,659.8484526,-1100.352976,-1785.567398,-265.3524051,-363.7288325,368.4998767,90.19015771,16.94382528,-6.824428356,8.116523328,-4.666699764
